cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
07059,Chiapas,Ocosingo,34.4964073481,18.7330617514,88.6753948299,41.683824177299996,72.4595715537,25.6651017895
07060,Chiapas,Ocotepec,40.1983227024,15.8336009692,93.3278772348,51.4245198712,76.4364858028,26.1534673705
07061,Chiapas,Ocozocoautla de Espinosa,33.2849817962,23.8748402816,80.2200596573,30.4164121158,52.557109338,26.1999509815
07062,Chiapas,Ostuacán,34.640465293,7.5213172528,92.2758370813,23.5476973103,70.0796648265,24.6363195151
07063,Chiapas,Osumacinta,24.7337998175,15.1201703681,75.0228171585,28.1107392759,52.5098874354,10.7392759355
07064,Chiapas,Oxchuc,32.9213636967,13.6123838292,92.7754773756,58.765818581,95.823284584,45.7077621256
07065,Chiapas,Palenque,28.8872546629,17.2256994331,87.9155615709,33.6234321138,65.1088367277,35.5132167507
07066,Chiapas,Pantelhó,49.7293568245,17.1831882827,86.3776268308,63.4472511144,87.5504139249,27.3296540013
07067,Chiapas,Pantepec,37.6889843425,10.8253147321,94.9269921724,33.4474195523,78.5589468267,22.8531568329
07068,Chiapas,Pichucalco,27.9708166434,11.0560174255,86.1792368033,23.3191266307,47.6262114756,25.7855687072
07069,Chiapas,Pijijiapan,32.4273523487,24.3915237902,88.6822997614,30.6909680218,67.4234561251,32.1086785528
07070,Chiapas,El Porvenir,26.3769022341,3.345103998,91.877462179,31.2802126025,33.7280010176,10.6461242455
07071,Chiapas,Villa Comaltitlán,33.2146310492,19.8850527279,90.5824898547,36.3069667464,85.1159554512,17.2631231751
07072,Chiapas,Pueblo Nuevo Solistahuacán,40.0426740163,10.6056913997,91.5119887363,37.3407296746,61.2390327842,33.6875209948
07073,Chiapas,Rayón,32.2711943249,7.1636236772,89.673217816,38.0509361554,57.4601697872,23.7120595418
07074,Chiapas,Reforma,20.8017385629,17.396258994,71.9150856679,23.1624655794,26.9200835255,27.4237090431
07075,Chiapas,Las Rosas,47.1833815901,12.0115171415,90.7938227119,32.3827919244,74.7559060215,35.0809373532
07076,Chiapas,Sabanilla,35.3778478649,8.3039382496,92.2894966178,51.9815744699,96.0368510603,26.4389758061
07077,Chiapas,Salto de Agua,35.2366494523,14.6375761082,90.8400380853,37.034640154,88.9464207064,21.7215974149
07078,Chiapas,San Cristóbal de las Casas,21.1740423672,27.3523267146,75.6996827422,13.8456654952,19.6285952436,24.9408548147
07079,Chiapas,San Fernando,37.4250839493,18.3391344472,85.7159444287,23.6524337203,46.0918047271,15.2990075193
07080,Chiapas,Siltepec,36.0326159623,7.7360338618,92.9651517941,37.5261610933,21.0553796591,14.9052879541
07081,Chiapas,Simojovel,40.7957775071,14.8220327514,91.5658411152,64.2928677764,85.2023277845,25.3051833807
07082,Chiapas,Sitalá,50.5391081871,13.4868421053,91.0087719298,51.5533625731,81.9627192982,22.8709795322
07083,Chiapas,Socoltenango,44.7602048891,13.3959789972,90.127941142,25.9149471892,76.1471943757,30.5158173086
07084,Chiapas,Solosuchiapa,33.8644342425,6.2921955171,92.2495274102,33.9184445045,78.530920875,14.0021604105
07085,Chiapas,Soyaló,33.5001984353,4.5005446477,91.9160045781,26.7621689982,60.8373467351,23.9114818923
07086,Chiapas,Suchiapa,26.3632432866,15.4962959102,82.9101389587,30.5765226832,49.9833793137,24.9084024883
07087,Chiapas,Suchiate,36.7541584063,33.7477547626,87.245638104,44.958494519,68.6782792496,39.3645370778
07088,Chiapas,Sunuapa,29.9637352675,6.3916591115,90.0271985494,18.1323662738,75.1586582049,27.3798730734
07089,Chiapas,Tapachula,20.8239925721,25.2943110909,64.5962072277,22.7046498805,33.3042358148,19.3860268701
07090,Chiapas,Tapalapa,34.0537383178,11.3317757009,90.0700934579,28.6214953271,77.5408878505,21.4369158879
07091,Chiapas,Tapilula,23.3372009706,4.85340219,90.2656441331,21.0486935668,46.3475148129,16.4390290394
